Chapter,Shlok,sanskrit,english,hindi,Doha1,Doha2,Naam
1,11,अयनेषु च सर्वेषु यथाभागमवस्थिता: | भीष्ममेवाभिरक्षन्तु भवन्त: सर्व एव हि  (11),"Therefore, I call upon all the generals of the Kaurava army now to give full support to Grandsire Bheeshma, even as you defend your respective strategic points.",अतः मैं कौरव सेना के सभी योद्धागणों से भी आग्रह करता हूँ कि सब अपने मोर्चे पर अडिग रहते हुए भीष्म पितामह की पूरी सहायता करें।,अपने अपने अयन में आप सभी तैनात,"भीष्म पितामह की सुनें,रक्षा हित सब बात।।11।।",अर्जुन विषाद योग
1,12,तस्य सञ्जनयन्हर्षं कुरुवृद्ध: पितामह: | सिंहनादं विनद्योच्चै: शङ्खं दध्मौ प्रतापवान्  (12),"Then, the grand old man of the Kuru dynasty, the glorious patriarch Bheeshma, roared like a lion, and blew his conch shell very loudly, giving joy to Duryodhan.",तत्पश्चात कुरूवंश के वयोवृद्ध परम यशस्वी महायोद्धा एवं वृद्ध भीष्म पितामह ने सिंह-गर्जना जैसी ध्वनि करने वाले अपने शंख को उच्च स्वर से बजाया जिसे सुनकर दुर्योधन हर्षित हुआ।,"तभी पितामह भीष्म ने करके,शँख निनाद","सबको उत्साहित किया ,सहसा कर सिहंनाद।।12।।",अर्जुन विषाद योग
1,13,तत: शङ्खाश्च भेर्यश्च पणवानकगोमुखा: | सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्  (13),"Thereafter, conches, kettledrums, bugles, trumpets, and horns suddenly blared forth, and their combined sound was overwhelming.","इसके पश्चात शंख, नगाड़े, बिगुल, तुरही तथा सींग अचानक एक साथ बजने लगे। उनका समवेत स्वर अत्यन्त भयंकर था।",सब वीरों ने भी बजा अपने अपने वाद्य,"शंख,भेरी,पणवानको से किया तुमुल निनाद।।13।।",अर्जुन विषाद योग
1,14,तत: श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ | माधव: पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतु:  (14),"Then, from amidst the Pandava army, seated in a glorious chariot drawn by white horses, Madhav and Arjun blew their Divine conch shells.",तत्पश्चात पाण्डवों की सेना के बीच श्वेत अश्वों द्वारा खींचे जाने वाले भव्य रथ पर आसीन माधव और अर्जुन ने अपने-अपने दिव्य शंख बजाये।,श्वेत अष्वों से युक्त रथ में तब हो आसीन,माधव-पाँडव सबो ने दिव्य शंख ध्वनि कीन।।14।।,अर्जुन विषाद योग
1,15,पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जय: | पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदर:  (15),"Hrishikesh blew his conch shell, called Panchajanya, and Arjun blew the Devadutta. Bheem, the voracious eater and performer of herculean tasks, blew his mighty conch, called Paundra.","ऋषीकेश भगवान् कृष्ण ने अपना पाञ्जन्य शंख बजाया, अर्जुन ने देवदत्त शंख तथा अतिभोजी एवं अति दुष्कर कार्य करने वाले भीम ने पौण्डू नामक भीषण शंख बजाया।","हृषीकेष ने पाञ्चजन्य,अर्जुन  ने देवदत्त",भीम वृकोदर ने किया पौड्र शंख उत्तप्त।।15।।,अर्जुन विषाद योग
1,16,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिर: | नकुल: सहदेवश्च सुघोषमणिपुष्पकौ  (16) काश्यश्च परमेष्वास: शिखण्डी च महारथ: | धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजित:  (17) द्रुपदो द्रौपदेयाश्च सर्वश: पृथिवीपते | सौभद्रश्च महाबाहु: शङ्खान्दध्मु: पृथक् पृथक्  (18),"King Yudhishthir, blew the Anantavijay, while Nakul and Sahadev blew the Sughosh and Manipushpak. The excellent archer and king of Kashi, the great warrior Shikhandi, Dhrishtadyumna, Virat, and the invincible Satyaki, Drupad, the five sons of Draupadi, and the mighty-armed Abhimanyu, son of Subhadra, all blew their respective conch shells, O Ruler of the earth.","हे पृथ्वीपति राजन्! राजा युधिष्ठिर ने अपना अनन्त विजय नाम का शंख बजाया तथा नकुल और सहदेव ने सुघोष एवं मणिपुष्पक नामक शंख बजाये। श्रेष्ठ धनुर्धर काशीराज, महा योद्धा शिखण्डी, धृष्टद्युम्न, विराट, अजेय सात्यकि, द्रुपद, द्रौपदी के पांच पुत्रों तथा सुभद्रा के महाबलशाली पुत्र वीर अभिमन्यु आदि सबने अपने-अपने अलग-अलग शंख बजाये।",ज्येष्ठ युध्ष्ठिर ने किया अनंत विजय से नाद,नकुल और सहदेव ने भी दिया (शंख) घोष में साथ।।16।।,अर्जुन विषाद योग
1,17,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिर: | नकुल: सहदेवश्च सुघोषमणिपुष्पकौ  (16) काश्यश्च परमेष्वास: शिखण्डी च महारथ: | धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजित:  (17) द्रुपदो द्रौपदेयाश्च सर्वश: पृथिवीपते | सौभद्रश्च महाबाहु: शङ्खान्दध्मु: पृथक् पृथक्  (18),"King Yudhishthir, blew the Anantavijay, while Nakul and Sahadev blew the Sughosh and Manipushpak. The excellent archer and king of Kashi, the great warrior Shikhandi, Dhrishtadyumna, Virat, and the invincible Satyaki, Drupad, the five sons of Draupadi, and the mighty-armed Abhimanyu, son of Subhadra, all blew their respective conch shells, O Ruler of the earth.","हे पृथ्वीपति राजन्! राजा युधिष्ठिर ने अपना अनन्त विजय नाम का शंख बजाया तथा नकुल और सहदेव ने सुघोष एवं मणिपुष्पक नामक शंख बजाये। श्रेष्ठ धनुर्धर काशीराज, महा योद्धा शिखण्डी, धृष्टद्युम्न, विराट, अजेय सात्यकि, द्रुपद, द्रौपदी के पांच पुत्रों तथा सुभद्रा के महाबलशाली पुत्र वीर अभिमन्यु आदि सबने अपने-अपने अलग-अलग शंख बजाये।","काशिराज धनुवीर ने औ"" शिखण्डी रथवान","राजा विराट, धृष्टद्युम्न व सात्यकि वीर महान।।17।।",अर्जुन विषाद योग
1,18,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिर: | नकुल: सहदेवश्च सुघोषमणिपुष्पकौ  (16) काश्यश्च परमेष्वास: शिखण्डी च महारथ: | धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजित:  (17) द्रुपदो द्रौपदेयाश्च सर्वश: पृथिवीपते | सौभद्रश्च महाबाहु: शङ्खान्दध्मु: पृथक् पृथक्  (18),"King Yudhishthir, blew the Anantavijay, while Nakul and Sahadev blew the Sughosh and Manipushpak. The excellent archer and king of Kashi, the great warrior Shikhandi, Dhrishtadyumna, Virat, and the invincible Satyaki, Drupad, the five sons of Draupadi, and the mighty-armed Abhimanyu, son of Subhadra, all blew their respective conch shells, O Ruler of the earth.","हे पृथ्वीपति राजन्! राजा युधिष्ठिर ने अपना अनन्त विजय नाम का शंख बजाया तथा नकुल और सहदेव ने सुघोष एवं मणिपुष्पक नामक शंख बजाये। श्रेष्ठ धनुर्धर काशीराज, महा योद्धा शिखण्डी, धृष्टद्युम्न, विराट, अजेय सात्यकि, द्रुपद, द्रौपदी के पांच पुत्रों तथा सुभद्रा के महाबलशाली पुत्र वीर अभिमन्यु आदि सबने अपने-अपने अलग-अलग शंख बजाये।","द्रुपद द्रौपदी पुत्र सब,महाबाहु अभिमन्यु",सब राजाओं ने किया शंखनाद निज भिन्न।।18।।,अर्जुन विषाद योग
1,19,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् | नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन्  (19),"The terrific sound thundered across the sky and the earth, and shattered the hearts of your sons, O Dhritarasthra.",हे धृतराष्ट्र! इन शंखों से उत्पन्न ध्वनि द्वारा आकाश और धरती के बीच हुई गर्जना नेआपके पुत्रों के हृदयों को विदीर्ण कर दिया।,वह स्वर कौरव सैन्य के हदयों को तब चीर,हुआ व्याप्त नभ-धरा पै गहन और गंभीर।।19।।,अर्जुन विषाद योग
1,20,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वज: | प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डव:  (20) हृषीकेशं तदा वाक्यमिदमाह महीपते |  ,"At that time, the son of Pandu, Arjun, who had the insignia of Hanuman on the flag of his chariot, took up his bow. Seeing your sons arrayed against him, O King, Arjun then spoke the following words to Shree Krishna.",उस समय हनुमान के चिह्न की ध्वजा लगे रथ पर आसीन पाण्डु पुत्र अर्जुन अपना धनुष उठा कर बाण चलाने के लिए उद्यत दिखाई दिया। हे राजन! आपके पुत्रों को अपने विरूद्ध व्यूह रचना में खड़े देख कर अर्जुन ने श्रीकृष्ण से यह वचन कहे।,तब कुरू सेना को सजी और व्यवस्थित देख,उद्यत लड़ने पार्थ भी हुआ धनुष्य सहेज।।20।।,अर्जुन विषाद योग
1,21,अर्जुन उवाच | सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत  (21) यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् | कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे  (22),"Arjun said: O Infallible One, please take my chariot to the middle of both armies, so that I may look at the warriors arrayed for battle, whom I must fight in this great combat.","अर्जुन ने कहा! हे अच्युत! मेरा रथ दोनों सेनाओं के बीच खड़ा करने की कृपा करें ताकि मैं यहाँ एकत्रित युद्ध करने की इच्छा रखने वाले योद्धाओं जिनके साथ मुझे इस महासंग्राम में युद्ध करना है, को देख सकूं।",तभी कहा श्री कृष्ण से अर्जुन ने यह वाक्य,"अच्युत,रथ को ले चलो सेन मध्य तत्काल।।21।।",अर्जुन विषाद योग
1,22,अर्जुन उवाच | सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत  (21) यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् | कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे  (22),"Arjun said: O Infallible One, please take my chariot to the middle of both armies, so that I may look at the warriors arrayed for battle, whom I must fight in this great combat.","अर्जुन ने कहा! हे अच्युत! मेरा रथ दोनों सेनाओं के बीच खड़ा करने की कृपा करें ताकि मैं यहाँ एकत्रित युद्ध करने की इच्छा रखने वाले योद्धाओं जिनके साथ मुझे इस महासंग्राम में युद्ध करना है, को देख सकूं।",लड़ने को तैयार जो उनको लूं पहचान,कौन उपस्थित युद्ध की इच्छा ले बलवान।।22।।,अर्जुन विषाद योग
1,23,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागता: | धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षव:  (23),"I desire to see those who have come here to fight on the side of the evil-minded son of Dhritarasthra, wishing to please him.",मैं उन लोगों को देखने का इच्छुक हूँ जो यहाँ पर धृतराष्ट्र के दुश्चरित्र पुत्रों को प्रसन्न करने की इच्छा से युद्ध लड़ने के लिए एकत्रित हुए हैं।,दुष्ट बुद्धि धृतराष्ट्र के प्रिय जो तथा सहाय,यहां युद्ध का मन बना लड़ने को जो आये।।23।।,अर्जुन विषाद योग
1,24,सञ्जय उवाच | एवमुक्तो हृषीकेशो गुडाकेशेन भारत | सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम्  (24),"Sanjay said: O Dhritarasthra, having thus been addressed by Arjun, the conqueror of sleep, Shree Krishna then drew the magnificent chariot between the two armies.",संजय ने कहा-हे भरतवंशी धृतराष्ट्र! निद्रा पर विजय पाने वाले अर्जुन द्वारा इस प्रकार के वचन बोले जाने पर तब भगवान श्रीकृष्ण ने उस भव्य रथ को दोनों सेनाओं के बीच में ले जाकर खड़ा कर दिया।,अर्जुन ने जब यों कहा हृषीकेष से नाथ,"दोनों सेना मध्य गये,उत्तम रथ में साथ।।24।।",अर्जुन विषाद योग
1,25,भीष्मद्रोणप्रमुखत: सर्वेषां च महीक्षिताम् | उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति  (25),"In the presence of Bheeshma, Dronacharya, and all the other kings, Shree Krishna said: O Parth, behold these Kurus gathered here.","भीष्म, द्रोण तथा अन्य सभी राजाओं की उपस्थिति में भगवान श्रीकृष्ण ने कहा कि हे पार्थ! यहाँ पर एकत्रित समस्त कुरुओं को देखो।",कहा कृष्ण ने पार्थ से देखो कुरूजन सर्व,"भीष्म-द्रोण है प्रमुख ओै"" राजा कई सगर्व।।25।।",अर्जुन विषाद योग
1,26,तत्रापश्यत्स्थितान् पार्थ: पितृ नथ पितामहान् | आचार्यान्मातुलान्भ्रातृ न्पुत्रान्पौत्रान्सखींस्तथा  (26) श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि |  ,"There, Arjun could see stationed in both armies, his fathers, grandfathers, teachers, maternal uncles, brothers, cousins, sons, nephews, grand-nephews, friends, fathers-in-law, and well-wishers.","अर्जुन ने वहाँ खड़ी दोनों पक्षों की सेनाओं के बीच अपने पिता तुल्य चाचाओं-ताऊओं, पितामहों, गुरुओं, मामाओं, भाइयों, चचेरे भाइयों, पुत्रों, भतीजों, मित्रों, ससुर, और शुभचिन्तकों को भी देखा।","देखे वहां पै पार्थ ने,पिता प्रपिता महान","गुरू,मामाओं,भाइयों,मित्र ,पौत्र पहचान।।26।।",अर्जुन विषाद योग
1,27,तान्समीक्ष्य स कौन्तेय: सर्वान्बन्धूनवस्थितान्  (27) कृपया परयाविष्टो विषीदन्निदमब्रवीत् |  ,"Seeing all his relatives present there, Arjun, the son of Kunti, was overwhelmed with compassion, and with deep sorrow, spoke the following words.",जब कुन्तिपुत्र अर्जुन ने अपने बंधु बान्धवों को वहाँ देखा तब उसका मन अत्यधिक करुणा से भर गया और फिर गहन शोक के साथ उसने निम्न वचन कहे।,"थे दोनों सेनाओं में श्वसुर,सुहद,सब लोग",जिन्हें देखकर पार्थ को हुआ बड़ा ही क्षोभ।।27।।,अर्जुन विषाद योग
1,28,अर्जुन उवाच | दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्  (28) सीदन्ति मम गात्राणि मुखं च परिशुष्यति |  ,"Arjun said: O Krishna, seeing my own kinsmen arrayed for battle here and intent on killing each other, my limbs are giving way and my mouth is drying up.",अर्जुन ने कहा! हे कृष्ण! युद्ध करने की इच्छा से एक दूसरे का वध करने के लिए यहाँ अपने वंशजों को देखकर मेरे शरीर के अंग कांप रहे हैं और मेरा मुंह सूख रहा है।,"दया भाव से भरे मन , से बोला तब पार्थ",कृष्ण देख इन स्वजन को तत्पर यों युद्धार्थ।।28।।,अर्जुन विषाद योग
1,29,वेपथुश्च शरीरे मे रोमहर्षश्च जायते  (29) गाण्डीवं स्रंसते हस्तात्त्वक्चै व परिदह्यते | न च शक्नोम्यवस्थातुं भ्रमतीव च मे मन:  (30)  निमित्तानि च पश्यामि विपरीतानि केशव | न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे  (31),"My whole body shudders; my hair is standing on end. My bow, the Gāṇḍīv, is slipping from my hand, and my skin is burning all over. My mind is in quandary and whirling in confusion; I am unable to hold myself steady any longer. O Krishna, killer of the Keshi demon, I only see omens of misfortune. I do not foresee how any good can come from killing my own kinsmen in this battle."," मेरा सारा शरीर काँप रहा है, मेरे शरीर के रोएं खड़े हो रहे हैं, मेरा धनुष ‘गाण्डीव' मेरे हाथ से सरक रहा है और मेरी पूरी त्वचा में जलन हो रही है। मेरा मन उलझ रहा है और मुझे घबराहट हो रही है। अब मैं यहाँ और अधिक खड़ा रहने में समर्थ नहीं हूँ। केशी राक्षस को मारने वाले हे केशव! मुझे केवल अमंगल के लक्षण दिखाई दे रहे हैं। युद्ध में अपने वंश के बंधु बान्धवों का वध करने में मुझे कोई अच्छाई नही दिखाई देती है और उन्हें मारकर मैं कैसे सुख पा सकता हूँ?","शिथिल है मेरे अंग सब , मुख अति सूखा तात","कंपित है सारा बदन , रोमांचित है गात ।।29।।",अर्जुन विषाद योग
1,30,वेपथुश्च शरीरे मे रोमहर्षश्च जायते  (29) गाण्डीवं स्रंसते हस्तात्त्वक्चै व परिदह्यते | न च शक्नोम्यवस्थातुं भ्रमतीव च मे मन:  (30)  निमित्तानि च पश्यामि विपरीतानि केशव | न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे  (31),"My whole body shudders; my hair is standing on end. My bow, the Gāṇḍīv, is slipping from my hand, and my skin is burning all over. My mind is in quandary and whirling in confusion; I am unable to hold myself steady any longer. O Krishna, killer of the Keshi demon, I only see omens of misfortune. I do not foresee how any good can come from killing my own kinsmen in this battle."," मेरा सारा शरीर काँप रहा है, मेरे शरीर के रोएं खड़े हो रहे हैं, मेरा धनुष ‘गाण्डीव' मेरे हाथ से सरक रहा है और मेरी पूरी त्वचा में जलन हो रही है। मेरा मन उलझ रहा है और मुझे घबराहट हो रही है। अब मैं यहाँ और अधिक खड़ा रहने में समर्थ नहीं हूँ। केशी राक्षस को मारने वाले हे केशव! मुझे केवल अमंगल के लक्षण दिखाई दे रहे हैं। युद्ध में अपने वंश के बंधु बान्धवों का वध करने में मुझे कोई अच्छाई नही दिखाई देती है और उन्हें मारकर मैं कैसे सुख पा सकता हूँ?",गिरा जा रहा हाथ से अनायास गांडीव,"त्वचा जल रही,भ्रमित मन,उठना कठिन अतीव।।30।।",अर्जुन विषाद योग
1,31,वेपथुश्च शरीरे मे रोमहर्षश्च जायते  (29) गाण्डीवं स्रंसते हस्तात्त्वक्चै व परिदह्यते | न च शक्नोम्यवस्थातुं भ्रमतीव च मे मन:  (30)  निमित्तानि च पश्यामि विपरीतानि केशव | न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे  (31),"My whole body shudders; my hair is standing on end. My bow, the Gāṇḍīv, is slipping from my hand, and my skin is burning all over. My mind is in quandary and whirling in confusion; I am unable to hold myself steady any longer. O Krishna, killer of the Keshi demon, I only see omens of misfortune. I do not foresee how any good can come from killing my own kinsmen in this battle."," मेरा सारा शरीर काँप रहा है, मेरे शरीर के रोएं खड़े हो रहे हैं, मेरा धनुष ‘गाण्डीव' मेरे हाथ से सरक रहा है और मेरी पूरी त्वचा में जलन हो रही है। मेरा मन उलझ रहा है और मुझे घबराहट हो रही है। अब मैं यहाँ और अधिक खड़ा रहने में समर्थ नहीं हूँ। केशी राक्षस को मारने वाले हे केशव! मुझे केवल अमंगल के लक्षण दिखाई दे रहे हैं। युद्ध में अपने वंश के बंधु बान्धवों का वध करने में मुझे कोई अच्छाई नही दिखाई देती है और उन्हें मारकर मैं कैसे सुख पा सकता हूँ?",लक्षण सारे दिख रहे केशव ! मन विपरीत,"स्वजनों का वध युद्ध में , दिखती अनुचित रीति।।31।।",अर्जुन विषाद योग
